rowidnew,sentence,location,locnum,source,user
5292,"i literally can't even step outside my room without heavily dissociating, but, hey, at least i got a platinum trophy in persona 5 royal right before the end ┬»\_(πâä)_/┬» a list of reasons: depression and anhedonia, severe borderline personality disorder, potential schizophrenia developing, social anxiety, social awkwardness, social ineptitude, and a few others.",anhedonia,1,0,0
16637,"in brazil at 2022, it's super easy to buy sn in common online marketplaces.",brazil,1,1,1
2042,so i ordered from uk.,uk,1,1,0
8705,"γçó sodium nitrite is available to be purchased in lethal quantities from a uk website for less than ┬ú5:00, again without restriction.",uk,1,1,0
16240,"i figured that i need a ""one shot one kill"" method, it's the only way to cross the line without having any way to falter and turn back; that's why i am asking if you could dm me a reliable supplier in eu for sn?",eu,1,0,1
9678,"ive searched google dry, the only possible place left is ebay another uk seller, but havent got the time to wait for another cancellation because of corona.",uk,1,1,0
2665,"if your spoon does not have a measuring unit on it, it is an utensil dining tablespoon and thus the volume can vary greatly and thus itγçös totally unsuited for precise sn measuring.",utensil,1,0,0
10773,"(in canada it would be the college of physicians and surgeons, but not sure what it would be called in other places, but surely there is some equivalent.)",canada,1,0,1
3584,i live in california.,california,1,0,1
6833,i am a very anxious person by nature and am having a bit of a freak out over the possibility of my order of sn (from usa to uk) being siezed at the boarder.,uk,1,1,1
12247,"if rcmp gets involved, i suppose i'd get called for a friendly warning and maybe some ""welfare checks""?",rcmp,1,0,0
4339,what would you make up? in another thread someone mentioned that a person that lives in germany had problems with the police and had to pay a fine.,germany,1,0,1
17042,i decided to go live with my sister in indiana,indiana,1,0,1
3038,now america has 1 extra vent.,america,1,0,0
9603,"currently the only known reliable source is a man named ""a"" in mexico who sells it to people around the world.",mexico,1,1,0
18675,opiad + propofol + neuromuscular blocker was used for the first euthanasia in canada.,canada,1,0,0
8090,he never intended to buy the gun for me or meet me in canada.,canada,1,0,1
10509,feels good to know that i have an understanding companion :) iγçöm currently based in south korea.,south korea,1,0,1
7156,can anyone else vouch for this site in canada?,canada,1,1,0
9647,the us had plans of slowly removing sn as an additive in the 1900's.,us,1,0,0
1947,"i got my meto from my family doctor, just complain about having severe nausea after meals, it is easy to obtain by faking symptoms acid reflux, migraine.. etc i won't trust online pharmacies and canada has a very strict regulation on meds can you please pm me the source from where you have got you sn, i can't find a reliable source that ship to canada, amazon, ebay dont ship and laboratory shops only sell to manufacturering companies, i fucked i have meto but no sn",canada,1,0,0
1947,"i got my meto from my family doctor, just complain about having severe nausea after meals, it is easy to obtain by faking symptoms acid reflux, migraine.. etc i won't trust online pharmacies and canada has a very strict regulation on meds can you please pm me the source from where you have got you sn, i can't find a reliable source that ship to canada, amazon, ebay dont ship and laboratory shops only sell to manufacturering companies, i fucked i have meto but no sn",canada,2,0,1
17857,storageγçïprimersn acts much like table salt (nacl) .,storageγçïprimersn,1,0,0
17857,storageγçïprimersn acts much like table salt (nacl) .,nacl,2,0,0
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",belgium,1,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",denmark,2,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",germany,3,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",france,4,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",luxembourg,5,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",netherlands,6,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",austria,7,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",finland,8,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",poland,9,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",portugal,10,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",uk,11,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",sweden,12,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",switzerland,13,0,1
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,canada,1,1,0
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,united states,2,1,0
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,canada,3,0,1
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",norway,1,0,0
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",sweden,2,0,0
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",finland,3,0,0
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",uk,1,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",germany,2,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",ireland,3,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",australia,4,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,1,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,2,0,0
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,3,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,4,1,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,5,0,1
3783,"donna morta a barletta, non era sorbitolo ma nitrito di sodio (woman who died in barletta, was not sorbitol but sodium nitrite)",barletta,1,0,1
3783,"donna morta a barletta, non era sorbitolo ma nitrito di sodio (woman who died in barletta, was not sorbitol but sodium nitrite)",barletta,2,0,1
6372,germany is on the list of risky countries as well as austria and poland.,germany,1,0,0
6372,germany is on the list of risky countries as well as austria and poland.,austria,2,0,0
6372,germany is on the list of risky countries as well as austria and poland.,poland,3,0,0
8320,"iγçöve spent a lot of time trying to get a source of sn, which has been extremely difficult due to living in the uk. iγçöve finally found a turkish seller who is willing to ship to the uk. iγçöve already ordered but iγçöm just getting extremely anxious and paranoid about it getting through customs.",uk,1,0,1
8320,"iγçöve spent a lot of time trying to get a source of sn, which has been extremely difficult due to living in the uk. iγçöve finally found a turkish seller who is willing to ship to the uk. iγçöve already ordered but iγçöm just getting extremely anxious and paranoid about it getting through customs.",uk,2,0,1
5745,"(norway, sweden, canada, germany.)",norway,1,0,0
5745,"(norway, sweden, canada, germany.)",sweden,2,0,0
5745,"(norway, sweden, canada, germany.)",canada,3,0,0
5745,"(norway, sweden, canada, germany.)",germany,4,0,0
18674,has anyone ordered sn on ic in france recently?,france,1,1,1
3282,it's easy to get in canada as a few online companies sell it.,canada,1,1,0
9269,"if you are in australia, dm me.",australia,1,1,1
1233,"certainly, no one in the family can imagine that fabio has chosen to end it all.",fabio,1,0,0
10481,there is a thread proving that it is not easy to buy n in peru as stated by nitschke or before it was 15 g sn (do not remember which edition).,peru,1,0,0
6024,but if u have us passport or passport which allows to come to europe or u live in state where it possible to find psylocibine mushrooms guys pls do it... before clonazepam ...... try psacodelic mushrooms.. not lsd... mushrooms....,europe,1,0,1
14702,"germany is just fucking nazi regarding customs wljourney said: i second the suggestion of cutting your losses, contact ic and tell them to keep the money.",germany,1,0,0
18358,in the uk you can buy buccastem over the counter if you say you need it for migraines.,uk,1,0,0
11967,"it seemed to get lost in the us mail, so they promptly send a second.",us,1,1,0
18025,what shops to look for in eastern europe?,eastern europe,1,1,1
17285,sa case reports off forum: sn megathread sn megathread a bunch of sa threads: https://sanctioned-suicide.org/threads/azide.1575/#post-118812 i actually question the 2nd ebay offer from poland.,poland,1,1,0
16736,thank you to everyone and best of luck in your endeavors! sanctioned-suicide.org @262653 mentioning people who are recently gone? is there any people that you would want to mention that are recently gone?,@262653,1,0,0
2285,@rikamonie just brought it from c and is from uk. waiting for it to be delivered.,uk,1,0,1
12786,"a few years ago there used to be several people selling nembutal in powder form (which is more concentrated and requires a smaller amount of liquid to be consumed with it) but those sources have disappeared. also regarding powdered nembutal, according to the following thread nitschke did a livestream in march in which he said several people have apparently bought nembutal powder from china but didn't give any details about how to contact these suppliers: https://sanctioned-suicide.org/threads/n-powder-is-coming-back.14431/#post-326834",china,1,0,0
12786,"a few years ago there used to be several people selling nembutal in powder form (which is more concentrated and requires a smaller amount of liquid to be consumed with it) but those sources have disappeared. also regarding powdered nembutal, according to the following thread nitschke did a livestream in march in which he said several people have apparently bought nembutal powder from china but didn't give any details about how to contact these suppliers: https://sanctioned-suicide.org/threads/n-powder-is-coming-back.14431/#post-326834",https://sanctioned-suicide.org/threads/n-powder-is-coming-back.14431/#post-326834,2,0,0
9915,anyone have an idea of how to get this into canada? peace/hugs,canada,1,0,1
16874,"if you're from brazil, i can help with finding a reliable sn source, even though that can be easily done alone.",brazil,1,1,1
9005,i know only one official dealer for all kind of chemicals (no black market) in a eu-country (not germany) that sells to anybody without this document and ships worldwide.,germany,1,0,0
9364,"then, about a week ago, i inadvertently ordered more from what i thought was a supplier in south east england.",south east england,1,1,0
2251,the hospitalist wrote for an adult dose of meds.,meds,1,0,0
12731,"hi just reposting my experience with sn here sn source : russia, from ebay 99% pure, it says sodium nitrite.",russia,1,1,0
7410,"i canγçöt seem to get sn anywhere in the uk, so of course iγçöve tried the popular craft site and ordered through t in ukraine.",uk,1,0,1
7410,"i canγçöt seem to get sn anywhere in the uk, so of course iγçöve tried the popular craft site and ordered through t in ukraine.",ukraine,2,1,0
13211,"i am living in belgium and after extensive research online i couldn't find any site that sells sn, at least not for private individuals.",belgium,1,0,1
12537,"i ordered the same product from a different ebay seller (but also in greece) in late december, and from the beginning it said it would arrive between 8 january and 18 january, which i was fine with but i've been periodically checking the order and it still just says ""shipping info received"", and doesn't say it's in transit, so i'm not exactly very hopeful that it's going to be here anytime soon.",greece,1,1,1
9535,"hello dear all, i live in germany and cannot find sn to buy, i really need to ctb with sn asap... if you have bought sn and recieved it , maybe u have 25g too much (usually the package is more than 100gr) ?",germany,1,0,1
15208,"you can use any pain killer as long as you stay within the recommended dose45 minutes before drinking sn3 x 10mg metoclopramide (30mg in total)30 minutes before drinking sndouble dose of what is recommended on the label of the antacid.sn drink once consumed, immediately relax on a bed, couch or reclining chair.",dose45,1,0,0
13212,you are from france?,france,1,0,0
4866,"i understand your vision and i would have hoped to have the same if there were not the problems of visa and different country, but especially the distance which separates asia and europe his mother living in asia.",asia,1,0,0
4866,"i understand your vision and i would have hoped to have the same if there were not the problems of visa and different country, but especially the distance which separates asia and europe his mother living in asia.",europe,2,0,0
4866,"i understand your vision and i would have hoped to have the same if there were not the problems of visa and different country, but especially the distance which separates asia and europe his mother living in asia.",asia,3,0,0
4312,or if possible a slight push in the right direction for acquiring sn in the uk? i hope this is allowed!,uk,1,1,1
1681,i bought sn off a seller in poland from the auction site.,poland,1,1,0
7679,i couldn't find it in america but i found an online pharmacy in a country that sold it and shipped to me here in states.,america,1,0,1
4495,i doubt anyone is from lebanon here but just in case someone is or knows where to get it locally please dm me,lebanon,1,1,1
3487,heard it's difficult to acquire in britain,britain,1,1,0
1683,i bought sn off a seller in poland from the auction site.,poland,1,1,0
18941,"but here someone said that sn from that brand has less purity... darkover said: i heard in india you don't really need a prescription for drugs if thats ture just buy olanzapine 2000 mg that will kill you completely peacefully you will pass out within five mins of taking it, you can try it yourself with a low dose of 300mg to test it knocks you out very quickly click to expand... they are.",india,1,1,0
316,"it happened with the us post-9/11, when ""security"" trumped the constitution, and twenty years later, the patriot act keeps getting renewed.",us,1,0,0
4337,"they could ask me why i didn't buy the readily availabe curing salt, that doesn' contain much sn.",doesn,1,0,0
10508,feels good to know that i have an understanding companion :) iγçöm currently based in south korea.,south korea,1,0,1
18454,"after 3 methods that failed with me , i have decided to purchase sn and stock it as a backup , a quick google search reveals that sn is easily available to buy online in i_ndia , i am not a chemist or i only have highschool knowledge on chemistry , i had made sure that it is nitr_ite not nitr_ate , in this forum it lot of people have posted from other countries that sn is extremely rare to get hold on for people living in other countries .",i_ndia,1,1,1
1233,"he buys a train ticket to rome and books a room at the hotel giglio dellγçöopera, a short walk from termini station.",rome,2,0,0
4216,i too have ordered from ukraine seller coming to australia,ukraine,1,1,0
8434,i am a middle class woman in india and money is always a problem.,india,1,0,1
9974,i assumed he/she is from australia.,australia,1,0,1
13492,i got it in spain.,spain,1,1,0
11389,"first hard to find, from my knowledge you can try to buy it in mexico.",mexico,1,1,0
2916,"(3) solutions @jamesf , as suggested by table , domperidone is as effective as metoclopramide (though the latter is preffered) and is otc in asia .",asia,1,0,0
14228,"since i live in brazil, a neighboring country of peru, i thought it might be easier to get nembutal than in the rest of the world, but i was wrong, it is equally difficult and expensive.",brazil,1,0,1
14228,"since i live in brazil, a neighboring country of peru, i thought it might be easier to get nembutal than in the rest of the world, but i was wrong, it is equally difficult and expensive.",peru,2,0,0
13671,most us sellers wonγçöt ship to canada due to the paperwork and taxes involved with cross-border sales.,canada,1,0,1
18872,i ordered n 26 days ago but it's still in mexico.,mexico,1,1,0
656,"click to expand... wooow, this is freeking me out that it's actually just written on there, lol when the postie comes i'm gunna be snatching it looking shifty af , im not actually sure we're mines from, sure it said ukraine when i bought it but all tracking is from russia, mine is also suppost to be 150g",russia,1,1,0
7454,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",norway,1,0,0
7454,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",sweden,2,0,0
7454,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",finland,3,0,0
5849,i read on some other threads here that the sn sold on the jungle in india isn't pure.,india,1,1,0
18861,"i stumbled upon an article about priperan stating that tardive dyskinesia is a possible side effect, is there a reason to be worried about this happening to me if i fail my attempt? the sodium nitrite i purchased was from amazon and i recently noticed that they added two chemicals to the sn that i can't find a lot of information about.",dyskinesia,1,0,0
6938,"it was such a good chance to get out of this fucking russia, to live a decent life (even with this asociality)..",russia,1,0,1
15729,but i've done some more digging and that seems to be more of an anomaly than the standard.,anomaly,1,0,0
13211,how difficult was it for you to order sn from europe?,europe,2,1,0
3053,did anyone get a relaiable source of sn in india ?,india,1,1,1
4823,"the uk hasnγçöt made it hard to get sn, and i have purchased it from russia twice now, i feel bad that i ended up wasting it or ended not going through with it because i failed last time.",uk,1,0,1
4823,"the uk hasnγçöt made it hard to get sn, and i have purchased it from russia twice now, i feel bad that i ended up wasting it or ended not going through with it because i failed last time.",russia,2,1,0
18382,"after treatment with methylene blue, etc., he was transferred to a psychiatric ward without any sequelae (bruccoleri et al., 2016).",al.,1,0,0
4762,"excess normal salt (nacl) in your stomach may also produce some stomach discomfort which makes it a good thing to take them.γçï pain killers γçï when sn starts to work, your blood pressure will drop.",nacl,1,0,0
13946,i have the m dog regulator (iγçöm in uk).,uk,1,0,1
16091,i'm considering sn and sa.,sa,1,0,0
16859,i tried to hang myself multiple times this week but i felt extreme fear just before i was supposed to pass out and stopped myself :/ i've decided to go with sn (almost ordered it) and n (if i can figure out how to order it or go to mexico).,mexico,1,1,0
662,i heard stories of someone who had a penalty after he bought it from ukraine.,ukraine,1,1,0
8555,look everyone who is in australia wanting to buy sn,australia,1,0,1
18078,has anyone who's from switzerland bought sn online?,switzerland,1,0,1
1144,"cad what: n (25g) where: (china) who: c when: (pending, i suspect 1 month) how: had plenty of btc for ages, send it in two waves to empire wallets to be extra safe. gave real info only to the seller using his pgp encryption key.",china,1,1,0
17543,"in a tip-off by the us wfrtds.org the following is an excerpt from the article "" on 15 october, members of organisation ultime liberte (wf member) were subject to early dawn raids by the french police.",us,1,0,0
5725,in italy depression is taken like a huge f*cking joke and i am honestly exhausted.,italy,1,0,1
208,"i was on ebay two nights ago, looking for primperan (antiemetic) one seller, from spain, was selling their last box.",spain,1,1,0
1066,"from what i understand, pure sn isn't out-and-out illegal in the uk and there are no penalties for attempting to import a substance without having the proper license...so while its difficult, it seems that the worst case scenario for finding a supplier and placing and order is a potential welfare check/visit from police.",uk,1,0,1
4291,"here i bought in one of the 'amazons, ebays' that are famous here in brazil.",brazil,1,1,0
12450,meto under the name primperan can be found on ebay from a seller from greece.,greece,1,0,0
11990,this is a uk seller selling in the uk i presume?,uk,1,1,0
11990,this is a uk seller selling in the uk i presume?,uk,2,0,1
6637,"i styled my hair somewhat long, then i shaved it completely recently, next style i want to try is a half-shave or something, the only reference off the top of my head i can think of is judy alverez from cp2077, like that half shave.",cp2077,1,0,0
4398,the former northern ireland and environment secretary said he was investigating ways of curbing the γç£horribly invitingγç¥ websites to help protect other families.,northern ireland,1,0,0
2462,"iγçöm not sure about in the us, but in australia you can purchase anagraine or meteclomax.",us,1,0,0
2462,"iγçöm not sure about in the us, but in australia you can purchase anagraine or meteclomax.",australia,2,0,0
6151,i don't own a gun and probably won't get one because i live in germany.,germany,1,0,1
6137,"i'm in the u.s. btw, sorry.",u.s.,1,0,1
15575,"someone from canada on here, in quebec said that a popular poland guy on ebay that he ordered sn off of, its package was intercepted at customs in quebec.",canada,1,0,1
15575,"someone from canada on here, in quebec said that a popular poland guy on ebay that he ordered sn off of, its package was intercepted at customs in quebec.",quebec,2,0,1
15575,"someone from canada on here, in quebec said that a popular poland guy on ebay that he ordered sn off of, its package was intercepted at customs in quebec.",poland,3,1,0
15575,"someone from canada on here, in quebec said that a popular poland guy on ebay that he ordered sn off of, its package was intercepted at customs in quebec.",quebec,4,0,1
9068,"can you clarify, do you mean get it from veterinary pharmacies or regular pharmacies? edit: also, where do you purchase sn in mexico?",mexico,1,1,1
18768,and i'm not going to try to procure some extra-legally from a dodgy source like an internet-based pharmacy in india or something.,india,1,1,0
