row_id_new,sentence,location,location_number,source_location_label,user_location_label
5292,"i literally can't even step outside my room without heavily dissociating, but, hey, at least i got a platinum trophy in persona 5 royal right before the end ┬»\_(πâä)_/┬» a list of reasons: depression and anhedonia, severe borderline personality disorder, potential schizophrenia developing, social anxiety, social awkwardness, social ineptitude, and a few others.",anhedonia,1,0,0
16637,"in brazil at 2022, it's super easy to buy sn in common online marketplaces.",brazil,1,1,1
2042,so i ordered from uk.,uk,1,1,0
8705,"γçó sodium nitrite is available to be purchased in lethal quantities from a uk website for less than ┬ú5:00, again without restriction.",uk,1,1,0
16240,"i figured that i need a ""one shot one kill"" method, it's the only way to cross the line without having any way to falter and turn back; that's why i am asking if you could dm me a reliable supplier in eu for sn?",eu,1,0,1
9678,"ive searched google dry, the only possible place left is ebay another uk seller, but havent got the time to wait for another cancellation because of corona.",uk,1,1,0
2665,"if your spoon does not have a measuring unit on it, it is an utensil dining tablespoon and thus the volume can vary greatly and thus itγçös totally unsuited for precise sn measuring.",utensil,1,0,0
10773,"(in canada it would be the college of physicians and surgeons, but not sure what it would be called in other places, but surely there is some equivalent.)",canada,1,0,1
3584,i live in california.,california,1,0,1
6833,i am a very anxious person by nature and am having a bit of a freak out over the possibility of my order of sn (from usa to uk) being siezed at the boarder.,uk,1,1,1
12247,"if rcmp gets involved, i suppose i'd get called for a friendly warning and maybe some ""welfare checks""?",rcmp,1,0,0
4339,what would you make up? in another thread someone mentioned that a person that lives in germany had problems with the police and had to pay a fine.,germany,1,0,1
17042,i decided to go live with my sister in indiana,indiana,1,0,1
3038,now america has 1 extra vent.,america,1,0,0
9603,"currently the only known reliable source is a man named ""a"" in mexico who sells it to people around the world.",mexico,1,1,0
18675,opiad + propofol + neuromuscular blocker was used for the first euthanasia in canada.,canada,1,0,0
8090,he never intended to buy the gun for me or meet me in canada.,canada,1,0,1
10509,feels good to know that i have an understanding companion :) iγçöm currently based in south korea.,south korea,1,0,1
7156,can anyone else vouch for this site in canada?,canada,1,1,0
9647,the us had plans of slowly removing sn as an additive in the 1900's.,us,1,0,0
1947,"i got my meto from my family doctor, just complain about having severe nausea after meals, it is easy to obtain by faking symptoms acid reflux, migraine.. etc i won't trust online pharmacies and canada has a very strict regulation on meds can you please pm me the source from where you have got you sn, i can't find a reliable source that ship to canada, amazon, ebay dont ship and laboratory shops only sell to manufacturering companies, i fucked i have meto but no sn",canada,1,0,0
1947,"i got my meto from my family doctor, just complain about having severe nausea after meals, it is easy to obtain by faking symptoms acid reflux, migraine.. etc i won't trust online pharmacies and canada has a very strict regulation on meds can you please pm me the source from where you have got you sn, i can't find a reliable source that ship to canada, amazon, ebay dont ship and laboratory shops only sell to manufacturering companies, i fucked i have meto but no sn",canada,2,0,1
17857,storageγçïprimersn acts much like table salt (nacl) .,storageγçïprimersn,1,0,0
17857,storageγçïprimersn acts much like table salt (nacl) .,nacl,2,0,0
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",belgium,1,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",denmark,2,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",germany,3,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",france,4,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",luxembourg,5,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",netherlands,6,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",austria,7,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",finland,8,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",poland,9,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",portugal,10,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",uk,11,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",sweden,12,0,1
14431,"antacid (several brand names) shipping to: belgium, denmark, germany, france, luxembourg, netherlands, austria, finland, poland, portugal, uk, sweden, switzerland sn sodium nitrite source 1: shipping to: all eu countries source 2: shipping to: 1 eu-country.",switzerland,13,0,1
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,canada,1,1,0
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,united states,2,1,0
16232,are there any other sn suppliers within canada or united states that ships to canada if you're not a business?,canada,3,0,1
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",norway,1,0,0
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",sweden,2,0,0
7456,"nitrates are not permitted in meat products in norway and sweden, while the use is being reduced in denmark and finland.",finland,3,0,0
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",uk,1,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",germany,2,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",ireland,3,0,1
15744,"only those living in the uk, germany, ireland and australia had instances of the police being involved with sn purchases.",australia,4,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,1,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,2,0,0
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,3,0,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,4,1,1
13175,"think i can get it from the usa but the supplier does not ship to the uk, so not having any luck as this is my preferred method ive got the anti sickness prescription meds but can not find the nano2 sn on the web. i can find a suppler in the usa but its been taken off sale in the uk click to expand... all i can find is a suppler in the usa and they want ┬ú73 to ship to the uk anyone that can point me in the right direction as to where to get sn nano2 in the uk or that will ship to the uk.",uk,5,0,1
3783,"donna morta a barletta, non era sorbitolo ma nitrito di sodio (woman who died in barletta, was not sorbitol but sodium nitrite)",barletta,1,0,1
3783,"donna morta a barletta, non era sorbitolo ma nitrito di sodio (woman who died in barletta, was not sorbitol but sodium nitrite)",barletta,2,0,1
6372,germany is on the list of risky countries as well as austria and poland.,germany,1,0,0
6372,germany is on the list of risky countries as well as austria and poland.,austria,2,0,0
6372,germany is on the list of risky countries as well as austria and poland.,poland,3,0,0
8320,"iγçöve spent a lot of time trying to get a source of sn, which has been extremely difficult due to living in the uk. iγçöve finally found a turkish seller who is willing to ship to the uk. iγçöve already ordered but iγçöm just getting extremely anxious and paranoid about it getting through customs.",uk,1,0,1
8320,"iγçöve spent a lot of time trying to get a source of sn, which has been extremely difficult due to living in the uk. iγçöve finally found a turkish seller who is willing to ship to the uk. iγçöve already ordered but iγçöm just getting extremely anxious and paranoid about it getting through customs.",uk,2,0,1
5745,"(norway, sweden, canada, germany.)",norway,1,0,0
5745,"(norway, sweden, canada, germany.)",sweden,2,0,0
5745,"(norway, sweden, canada, germany.)",canada,3,0,0
5745,"(norway, sweden, canada, germany.)",germany,4,0,0
